Sr.no.,Village,Survey No.,Area in NA Order,Dated,NA Order No.,Lease Deed Doc. No.,Lease Area,Lease Start,Lease End,Status
1,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
2,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
3,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
4,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
5,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
6,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
7,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
8,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
9,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
10,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
11,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
12,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
13,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
14,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
15,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
16,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
17,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
18,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
19,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
20,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
21,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
22,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
23,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
24,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
25,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
26,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
27,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
28,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
29,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
30,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
31,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
32,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
33,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
34,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
35,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
36,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
37,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
38,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
39,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
40,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
41,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
42,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
43,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
44,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
45,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
46,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
47,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
48,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
49,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
50,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
51,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
52,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
53,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
54,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
55,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
56,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
