Sr.no.,Village,Survey No.,Area in NA Order,Dated,NA Order No.,Lease Deed Doc. No.,Lease Area,Lease Start,Lease End,Status
1,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
2,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
3,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
4,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
5,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
6,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
7,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
8,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
9,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
10,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
11,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
12,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
13,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
14,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
15,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
16,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
17,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
18,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
19,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
20,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
21,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
22,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
23,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
24,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
25,Rampura Mota,S.No.-251p,,,GJ-251p-141,Deed-141,,,,SUCCESS
